Type,Count,Allocated(MB),Resident(MB)
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleList<UnityEngine.UIElements.StylePropertyName>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.EasingFunction>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleList<UnityEngine.UIElements.EasingFunction>>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.Background>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleLength>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleInt>[]",1,0.000,0.000
"System.Attribute[]",1,0.000,0.000
"Unity.Properties.IProperty<System.Version>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.BoundsInt>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.Bounds>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.RectInt>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.Rect>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.Vector3Int>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.Vector2Int>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.Vector4>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.Vector3>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.Vector2>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.Color>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.FontDefinition>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleFontDefinition>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleFont>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleFloat>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.Cursor>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleCursor>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleColor>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.BackgroundSize>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleBackgroundSize>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.BackgroundRepeat>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleBackgroundRepeat>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.BackgroundPosition>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleBackgroundPosition>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.Length>[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleBackground>[]",1,0.000,0.000
"System.Diagnostics.StackFrame[]",1,0.000,0.000
"Unity.Properties.IProperty<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Wrap>>[]",1,0.000,0.000
"UnityEngine.XR.XRMeshSubsystemDescriptor[]",1,0.000,0.000
"UnityEngine.XR.XRMeshSubsystem[]",1,0.000,0.000
"UnityEngine.XR.XRInputSubsystem[]",1,0.000,0.000
"UnityEngine.XR.InputTracking[]",1,0.000,0.000
"UnityEngine.XR.InputDevices[]",1,0.000,0.000
"UnityEngine.AssetBundleUnloadOperation[]",1,0.000,0.000
"UnityEngine.AssetBundleRequest[]",1,0.000,0.000
"UnityEngine.AssetBundleRecompressOperation[]",1,0.000,0.000
"UnityEngine.AssetBundleCreateRequest[]",1,0.000,0.000
"Unity.Properties.Internal.PropertiesInitialization[]",1,0.000,0.000
"UnityEngine.Tilemaps.TilemapRenderer[]",1,0.000,0.000
"UnityEngine.Tilemaps.Tilemap[]",1,0.000,0.000
"UnityEngine.TreePrototype[]",1,0.000,0.000
"UnityEngine.TerrainUtils.TerrainUtility[]",1,0.000,0.000
"UnityEngine.TerrainData[]",1,0.000,0.000
"UnityEngine.TerrainCallbacks[]",1,0.000,0.000
"UnityEngine.InputSystem.RemoteInputPlayerConnection.Subscriber",1,0.000,0.000
"UnityEngine.InputSystem.InputRemoting.Subscriber",1,0.000,0.000
"UnityEngine.Rendering.Universal.URPDefaultVolumeProfileSettings",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.Util.RenderGraphUtilsResources",1,0.000,0.000
"System.Reflection.FieldInfo[]",1,0.000,0.000
"UnityEngine.Rendering.ProbeVolumePerSceneData[]",1,0.000,0.000
"System.Net.Sockets.TcpClient[]",1,0.000,0.000
"Unity.AI.Navigation.NavMeshSurface[]",1,0.000,0.000
"Unity.AI.Navigation.NavMeshModifierVolume[]",1,0.000,0.000
"Unity.AI.Navigation.NavMeshModifier[]",1,0.000,0.000
"Unity.AI.Navigation.NavMeshLink[]",1,0.000,0.000
"UnityEngine.TextAsset[]",1,0.000,0.000
"Meta.XR.BuildingBlocks.VariantCheckpoint[]",1,0.000,0.000
"UnityEngine.Rendering.LensFlareCommonSRP.LensFlareCompInfo[]",1,0.000,0.000
"UnityEngine.DebugLogHandler",2,0.000,0.000
"UnityEngineInternal.WebRequestUtils[]",1,0.000,0.000
"UnityEngine.Networking.UnityWebRequestAsyncOperation[]",1,0.000,0.000
"UnityEngine.Networking.DownloadHandler[]",1,0.000,0.000
"UnityEngine.Networking.CertificateHandler[]",1,0.000,0.000
"UnityEngineInternal.Input.NativeInputSystem[]",1,0.000,0.000
"UnityEngine.TextEditor[]",1,0.000,0.000
"UnityEngine.SliderState[]",1,0.000,0.000
"UnityEngine.ScrollViewState[]",1,0.000,0.000
"UnityEngine.GUIUtility[]",1,0.000,0.000
"UnityEngine.GUITargetAttribute[]",1,0.000,0.000
"UnityEngine.GUIStyle[]",1,0.000,0.000
"UnityEngine.GUISkin[]",1,0.000,0.000
"UnityEngine.GUIScrollGroup[]",1,0.000,0.000
"UnityEngine.GUILayoutGroup[]",1,0.000,0.000
"UnityEngine.GUILayoutEntry[]",1,0.000,0.000
"UnityEngine.GUI[]",1,0.000,0.000
"UnityEngine.Event[]",1,0.000,0.000
"UnityEngine.Experimental.Audio.AudioSampleProvider[]",1,0.000,0.000
"UnityEngine.AudioSettings[]",1,0.000,0.000
"UnityEngine.AudioClip[]",1,0.000,0.000
"UnityEngine.Audio.AudioResource[]",1,0.000,0.000
"UnityEngine.VFX.VisualEffectAsset[]",1,0.000,0.000
"UnityEngine.VFX.VisualEffectObject[]",1,0.000,0.000
"UnityEngine.VFX.VisualEffect[]",1,0.000,0.000
"UnityEngine.VFX.VFXSpawnerState[]",1,0.000,0.000
"UnityEngine.VFX.VFXSpawnerCallbacks[]",1,0.000,0.000
"UnityEngine.VFX.VFXRenderer[]",1,0.000,0.000
"UnityEngine.VFX.VFXManager[]",1,0.000,0.000
"UnityEngine.VFX.VFXExpressionValues[]",1,0.000,0.000
"UnityEngine.VFX.VFXEventAttribute[]",1,0.000,0.000
"UnityEngine.Analytics.VRDeviceUserAnalytic[]",1,0.000,0.000
"UnityEngine.Analytics.VRDeviceMirrorAnalytic[]",1,0.000,0.000
"UnityEngine.Analytics.VRDeviceAnalyticAspect[]",1,0.000,0.000
"UnityEngine.Analytics.VRDeviceActiveControllersAnalytic[]",1,0.000,0.000
"UnityEngine.Analytics.VRDeviceAnalyticBase[]",1,0.000,0.000
"UnityEngine.Analytics.SubsystemsAnalyticStop[]",1,0.000,0.000
"UnityEngine.Analytics.SubsystemsAnalyticStart[]",1,0.000,0.000
"UnityEngine.Analytics.SubsystemsAnalyticInfo[]",1,0.000,0.000
"UnityEngine.Analytics.SubsystemsAnalyticBase[]",1,0.000,0.000
"UnityEditor.Analytics.TestAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.StallSummaryAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.StallMarkerAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.SendGameBuildAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.ProjectSettingsInformationAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.PackageManagerTestAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.PackageManagerStartServerPackageAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.PackageManagerResolvePackageAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.PackageManagerResolveErrorPackageAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.PackageManagerResetPackageAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.PackageManagerRemovePackageAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.PackageManagerEmbedPackageAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.PackageManagerAddPackageAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.PackageManagerBaseAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.NavmeshBakingAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.MetalPatchShaderComputeBufferAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.LicensingInitAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.LicensingErrorAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.CollabOperationAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.BuildAssetBundleAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.AssetImportStatusAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.AssetImportAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.AssetExportAnalytic[]",1,0.000,0.000
"UnityEditor.Analytics.AssetDatabaseRefreshAnalytic[]",1,0.000,0.000
"UnityEngine.TextGenerator[]",1,0.000,0.000
"UnityEngine.Font[]",1,0.000,0.000
"UnityEngine.TextCore.Glyph[]",1,0.000,0.000
"UnityEngine.Canvas[]",1,0.000,0.000
"UnityEngine.Physics[]",1,0.000,0.000
"UnityEngine.ControllerColliderHit[]",1,0.000,0.000
"Unity.Hierarchy.HierarchyViewModel[]",1,0.000,0.000
"Unity.Hierarchy.HierarchySearchQueryDescriptor[]",1,0.000,0.000
"Unity.Hierarchy.HierarchyNodeTypeHandlerBase[]",1,0.000,0.000
"Unity.Hierarchy.HierarchyFlattened[]",1,0.000,0.000
"Unity.Hierarchy.HierarchyCommandList[]",1,0.000,0.000
"Unity.Hierarchy.Hierarchy[]",1,0.000,0.000
"UnityEngine.AndroidJNIHelper[]",1,0.000,0.000
"UnityEngine.AndroidJNI[]",1,0.000,0.000
"UnityEngine.Android.AndroidConfiguration[]",1,0.000,0.000
"UnityEngine.Android.AndroidApplication[]",1,0.000,0.000
"UnityEngine._AndroidJNIHelper[]",1,0.000,0.000
"UnityEngine.AI.NavMesh[]",1,0.000,0.000
"System.LocalDataStore[]",1,0.000,0.000
"System.Threading.ThreadLocal.IdManager<UnityEngine.Pool.ObjectPool<UnityEngine.Awaitable>>",1,0.000,0.000
"System.ValueTuple<System.Object,System.ValueTuple<System.Type,System.Int32>>[]",1,0.000,0.000
"UnityEngine.InputSystem.Layouts.InputControlLayout.ControlItem[]",1,0.000,0.000
"OVRPassthroughLayer.SerializedSurfaceGeometry[]",1,0.000,0.000
"OVRPassthroughLayer.DeferredPassthroughMeshAddition[]",1,0.000,0.000
"System.ValueTuple<System.String,System.String,UnityEngine.LogType>[]",1,0.000,0.000
"System.ValueTuple<System.Collections.Generic.List<OVRSpaceUser>,System.Collections.Generic.List<OVRSpatialAnchor>>[]",1,0.000,0.000
"UnityEngine.InputForUI.EventProvider.Registration[]",1,0.000,0.000
"UnityEngine.InputForUI.Event[]",1,0.000,0.000
"UnityEngine.XR.MeshGenerationResult[]",1,0.000,0.000
"UnityEngine.XR.InputFeatureUsage[]",1,0.000,0.000
"UnityEngine.TextCore.Text.MeshInfoBindings[]",1,0.000,0.000
"UnityEngine.TextCore.NativeTextGenerationSettings[]",1,0.000,0.000
"UnityEngine.U2D.SpriteBone[]",1,0.000,0.000
"UnityEngine.Rendering.ShaderKeyword[]",1,0.000,0.000
"UnityEngine.Rendering.LocalKeyword[]",1,0.000,0.000
"UnityEngine.Rendering.GlobalKeyword[]",1,0.000,0.000
"UnityEngine.LowLevel.PlayerLoopSystemInternal[]",1,0.000,0.000
"UnityEngine.LOD[]",1,0.000,0.000
"UnityEngine.AssemblyFullName[]",1,0.000,0.000
"Unity.IO.LowLevel.Unsafe.AsyncReadManagerRequestMetric[]",1,0.000,0.000
"Unity.IO.Archive.ArchiveFileInfo[]",1,0.000,0.000
"UnityEngine.SkeletonBone[]",1,0.000,0.000
"UnityEngine.HumanBone[]",1,0.000,0.000
"UnityEngine.VFX.VFXBatchedEffectInfo[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.MultipleSubstitutionRecord[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.LigatureSubstitutionRecord[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.FontReference[]",1,0.000,0.000
"UnityEngine.TextCore.FaceInfo[]",1,0.000,0.000
"Unity.Hierarchy.HierarchySearchFilter[]",1,0.000,0.000
"UnityEngine.AI.NavMeshTriangulation[]",1,0.000,0.000
"UnityEngine.Awaitable.AwaitableAndFrameIndex[]",1,0.000,0.000
"UnityEngine.LayerMask[]",1,0.000,0.000
"UnityEngine.Keyframe[]",1,0.000,0.000
"UnityEngine.GradientColorKey[]",1,0.000,0.000
"UnityEngine.GradientAlphaKey[]",1,0.000,0.000
"UnityEngine.Experimental.U2D.SpriteIntermediateRendererInfo[]",1,0.000,0.000
"UnityEngine.Experimental.Playables.TexturePlayableOutput[]",1,0.000,0.000
"UnityEngine.Experimental.Playables.TextureMixerPlayable[]",1,0.000,0.000
"UnityEngine.Experimental.Playables.MaterialEffectPlayable[]",1,0.000,0.000
"UnityEngine.Experimental.Playables.CameraPlayable[]",1,0.000,0.000
"UnityEngine.Experimental.GlobalIllumination.LightDataGI[]",1,0.000,0.000
"UnityEngine.ColorPrimaries[]",1,0.000,0.000
"UnityEngine.ColorGamut[]",1,0.000,0.000
"UnityEngine.Color32[]",1,0.000,0.000
"UnityEngine.BoundsInt[]",1,0.000,0.000
"UnityEngine.BoneWeight[]",1,0.000,0.000
"UnityEngine.AssemblyVersion[]",1,0.000,0.000
"Unity.Profiling.ProfilerRecorderSample[]",1,0.000,0.000
"Unity.Profiling.ProfilerRecorder[]",1,0.000,0.000
"Unity.Profiling.ProfilerMarker[]",1,0.000,0.000
"Unity.Profiling.ProfilerCategory[]",1,0.000,0.000
"Unity.Profiling.LowLevel.Unsafe.ProfilerRecorderHandle[]",1,0.000,0.000
"Unity.Profiling.LowLevel.Unsafe.ProfilerRecorderDescription[]",1,0.000,0.000
"Unity.IO.LowLevel.Unsafe.Priority[]",1,0.000,0.000
"Unity.IO.LowLevel.Unsafe.FileState[]",1,0.000,0.000
"Unity.IO.Archive.ArchiveStatus[]",1,0.000,0.000
"Unity.IO.Archive.ArchiveHandle[]",1,0.000,0.000
"Unity.Collections.NativeArrayDisposeJob[]",1,0.000,0.000
"Unity.Collections.LeakCategory[]",1,0.000,0.000
"Unity.Collections.Allocator[]",1,0.000,0.000
"UnityEngine.UIElements.Layout.LayoutStyleData[]",1,0.000,0.000
"UnityEngine.UIElements.Layout.LayoutNodeDataType[]",1,0.000,0.000
"UnityEngine.UIElements.Layout.LayoutDataAccess[]",1,0.000,0.000
"UnityEngine.UIElements.Layout.LayoutConfigDataType[]",1,0.000,0.000
"UnityEngine.RaycastHit2D[]",1,0.000,0.000
"UnityEngine.ContactPoint2D[]",1,0.000,0.000
"UnityEngine.ContactFilter2D[]",1,0.000,0.000
"UnityEngine.AnimatorTransitionInfo[]",1,0.000,0.000
"UnityEngine.AnimatorStateInfo[]",1,0.000,0.000
"UnityEngine.AnimatorClipInfo[]",1,0.000,0.000
"UnityEngine.Animations.AnimatorControllerPlayable[]",1,0.000,0.000
"UnityEngine.Animations.AnimationStream[]",1,0.000,0.000
"UnityEngine.Animations.AnimationScriptPlayable[]",1,0.000,0.000
"UnityEngine.Animations.AnimationRemoveScalePlayable[]",1,0.000,0.000
"UnityEngine.Animations.AnimationPosePlayable[]",1,0.000,0.000
"UnityEngine.Animations.AnimationPlayableOutput[]",1,0.000,0.000
"UnityEngine.Animations.AnimationOffsetPlayable[]",1,0.000,0.000
"UnityEngine.Animations.AnimationMotionXToDeltaPlayable[]",1,0.000,0.000
"UnityEngine.Animations.AnimationMixerPlayable[]",1,0.000,0.000
"UnityEngine.Animations.AnimationLayerMixerPlayable[]",1,0.000,0.000
"UnityEngine.Animations.AnimationHumanStream[]",1,0.000,0.000
"UnityEngine.Animations.AnimationClipPlayable[]",1,0.000,0.000
"UnityEngine.AnimationEventBlittable[]",1,0.000,0.000
"UnityEngine.Audio.AudioPlayableOutput[]",1,0.000,0.000
"UnityEngine.Audio.AudioMixerPlayable[]",1,0.000,0.000
"UnityEngine.Audio.AudioClipPlayable[]",1,0.000,0.000
"UnityEngine.VFX.VFXCameraXRSettings[]",1,0.000,0.000
"UnityEngine.VFX.VFXBatchInfo[]",1,0.000,0.000
"UnityEngine.UIVertex[]",1,0.000,0.000
"UnityEngine.UILineInfo[]",1,0.000,0.000
"UnityEngine.UICharInfo[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.MarkToMarkAdjustmentRecord[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.MarkToBaseAdjustmentRecord[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.MarkPositionAdjustment[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.GlyphValueRecord[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.GlyphRenderMode[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.GlyphPairAdjustmentRecord[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.GlyphPackingMode[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.GlyphMarshallingStruct[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.GlyphLoadFlags[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.GlyphAnchorPoint[]",1,0.000,0.000
"UnityEngine.TextCore.LowLevel.GlyphAdjustmentRecord[]",1,0.000,0.000
"UnityEngine.TextCore.GlyphRect[]",1,0.000,0.000
"UnityEngine.TextCore.GlyphMetrics[]",1,0.000,0.000
"UnityEngine.RaycastHit[]",1,0.000,0.000
"UnityEngine.ContactPairPoint[]",1,0.000,0.000
"UnityEngine.ContactPairHeader[]",1,0.000,0.000
"UnityEngine.ContactPair[]",1,0.000,0.000
"UnityEngine.AI.NavMeshBuildSource[]",1,0.000,0.000
"Unity.XR.Oculus.OculusLoader",1,0.000,0.000
"MetaXRAudioSettings",1,0.000,0.000
"UnityEngine.Light",1,0.000,0.000
"UnityEngine.Rendering.CommandBuffer",1,0.000,0.000
"UnityEngine.Display",1,0.000,0.000
"UnityEngine.Event",1,0.000,0.000
"System.Net.Configuration.SettingsSectionInternal",1,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRenderer.RenderingFeatures",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplayGPUResidentDrawer.SettingsPanel.<>c__DisplayClass5_0",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplayGPUResidentDrawer.SettingsPanel.<>c__DisplayClass6_0",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplayGPUResidentDrawer.SettingsPanel.<>c__DisplayClass4_0",1,0.000,0.000
"System.Collections.Generic.SortedList.ValueList<System.Int32,System.ValueTuple<UnityEngine.Rendering.RTHandle,System.Int32>>",1,0.000,0.000
"System.Collections.Generic.SortedList.KeyList<System.Int32,System.ValueTuple<UnityEngine.Rendering.RTHandle,System.Int32>>",1,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData",1,0.000,0.000
"System.Collections.Generic.Dictionary.ValueCollection<System.Int32,UnityEngine.Rendering.RenderGraphModule.TextureHandle>",1,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData",1,0.000,0.000
"UnityEngine.Experimental.Rendering.XRLayout",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsVolume.WidgetFactory.<>c__DisplayClass0_0",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsVolume.WidgetFactory.<>c__DisplayClass1_0",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsHDROutput.<>c__DisplayClass1_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass20_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass19_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass18_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass17_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass11_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass12_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass9_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass8_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass6_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass5_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass4_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass3_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass13_0",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsStats<UnityEngine.Rendering.Universal.URPProfileId>",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass16_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass14_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass15_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass2_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass1_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c__DisplayClass0_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.SettingsPanel.<>c__DisplayClass0_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsLighting.WidgetFactory.<>c__DisplayClass1_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsLighting.WidgetFactory.<>c__DisplayClass2_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsLighting.WidgetFactory.<>c__DisplayClass0_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass13_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass12_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass11_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass10_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass9_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass8_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass7_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass6_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass2_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass1_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass5_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass4_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass3_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c__DisplayClass0_0",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.SettingsPanel.<>c__DisplayClass0_0",1,0.000,0.000
"UnityEngine.Profiling.Sampler",1,0.000,0.000
"Unity.MemoryProfiler.DefaultMetadataCollect",1,0.000,0.000
"UnityEngine.XR.XRDisplaySubsystemDescriptor",1,0.000,0.000
"UnityEngine.XR.XRInputSubsystemDescriptor",1,0.000,0.000
"OVRBoundary",1,0.000,0.000
"UnityEngine.InputSystem.LowLevel.NativeInputRuntime.<>c__DisplayClass10_0",1,0.000,0.000
"UnityEngine.Events.InvokableCall",1,0.000,0.000
"UnityEngine.Experimental.Rendering.XRLayoutStack",1,0.000,0.000
"UnityEngine.Experimental.Rendering.ScriptableRuntimeReflectionSystemWrapper",1,0.000,0.000
"MetaXRAudioNativeInterface.UnityNativeInterface",1,0.000,0.000
"System.OrdinalIgnoreCaseComparer",1,0.000,0.000
"System.OrdinalCaseSensitiveComparer",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphGlobalSettings",1,0.000,0.000
"System.Buffers.ArrayPoolEventSource",1,0.000,0.000
"System.Collections.Generic.Dictionary.KeyCollection<UnityEngine.InputSystem.Utilities.InternedString,UnityEngine.InputSystem.Layouts.InputControlLayout.Collection.PrecompiledLayout>",1,0.000,0.000
"UnityEngine.InputSystem.LowLevel.NativeInputRuntime.<>c__DisplayClass13_0",1,0.000,0.000
"UnityEngine.InputSystem.LowLevel.NativeInputRuntime.<>c__DisplayClass7_0",1,0.000,0.000
"UnityEngine.Rendering.RenderPipelineGraphicsSettingsCollection",1,0.000,0.000
"UnityEngine.Rendering.RenderPipelineGraphicsSettingsContainer",1,0.000,0.000
"UnityEngine.Rendering.Universal.RenderGraphSettings",1,0.000,0.000
"UnityEngine.Rendering.Universal.URPShaderStrippingSetting",1,0.000,0.000
"UnityEngine.ComputeShader",1,0.000,0.000
"UnityEngine.Cubemap",1,0.000,0.000
"System.Collections.Generic.GenericEqualityComparer<System.ValueTuple<System.Int32,UnityEngine.Rendering.RTHandle>>",1,0.000,0.000
"System.Collections.Generic.ArraySortHelper<System.Int32>",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsRendering.WidgetFactory.<>c",1,0.000,0.000
"System.Collections.Generic.GenericEqualityComparer<UnityEngine.Bounds>",1,0.000,0.000
"UnityEngine.Rendering.ProbeReferenceVolume.<>c",1,0.000,0.000
