NameOfObject,Type,Allocated(MB),Resident(MB)
"RotationAudioEvents","MonoScript",0.000,0.000
"InteractableColorVisual","MonoScript",0.000,0.000
"Extrapolation","MonoScript",0.000,0.000
"ContentSizeFitter","MonoScript",0.000,0.000
"OneGrabFreeTransformer","MonoScript",0.000,0.000
"TMP_DefaultControls","MonoScript",0.000,0.000
"IOptimizedAccessor","MonoScript",0.000,0.000
"Mask","MonoScript",0.000,0.000
"PokeInteractable","MonoScript",0.000,0.000
"RegisteredDynamicEntityKeyword","MonoScript",0.000,0.000
"ValueInputDefinition","MonoScript",0.000,0.000
"PoseControl","MonoScript",0.000,0.000
"IBounds","MonoScript",0.000,0.000
"TMP_Style","MonoScript",0.000,0.000
"IAudioSourceProvider","MonoScript",0.000,0.000
"FastTouchscreen","MonoScript",0.000,0.000
"PanelHoverState","MonoScript",0.000,0.000
"Vector3MoveTowards","MonoScript",0.000,0.000
"LayoutElement","MonoScript",0.000,0.000
"HorizontalLayoutGroup","MonoScript",0.000,0.000
"OVRGazePointer","MonoScript",0.000,0.000
"OVROverlayMeshGenerator","MonoScript",0.000,0.000
"NativeArrayUtils","MonoScript",0.000,0.000
"HandGrabStateVisual","MonoScript",0.000,0.000
"CallbackDataSource","MonoScript",0.000,0.000
"ToggleGroup","MonoScript",0.000,0.000
"NoAliasAttribute","MonoScript",0.000,0.000
"IJsonVariableInfo","MonoScript",0.000,0.000
"OnBecameInvisible","MonoScript",0.000,0.000
"EnableTargetOnStart","MonoScript",0.000,0.000
"Leaderboard","MonoScript",0.000,0.000
"bool2x3.gen","MonoScript",0.000,0.000
"TMP_InputField","MonoScript",0.000,0.000
"EnvironmentRaycastManager","MonoScript",0.000,0.000
"LanguagePackInfo","MonoScript",0.000,0.000
"TouchInputModule","MonoScript",0.000,0.000
"DictationService","MonoScript",0.000,0.000
"EventBus","MonoScript",0.000,0.000
"AnimatedSnapTurnVisuals","MonoScript",0.000,0.000
"OnDrop","MonoScript",0.000,0.000
"InputExtensions","MonoScript",0.000,0.000
"IHandSphereMap","MonoScript",0.000,0.000
"TTSSpeakerClipEvents","MonoScript",0.000,0.000
"ReflectionInvoker","MonoScript",0.000,0.000
"OVRExternalComposition","MonoScript",0.000,0.000
"GenericMultiply","MonoScript",0.000,0.000
"DebugDraw","MonoScript",0.000,0.000
"TypeFilter","MonoScript",0.000,0.000
"CompositeBindingPropertiesView","MonoScript",0.000,0.000
"IUnitOutputPortDefinition","MonoScript",0.000,0.000
"OVRCustomFaceExtensions","MonoScript",0.000,0.000
"SkeletonJointsCache","MonoScript",0.000,0.000
"MetaXRAcousticSettings","MonoScript",0.000,0.000
"MRUKNative","MonoScript",0.000,0.000
"WitWebSocketSettings","MonoScript",0.000,0.000
"IHandGrabState","MonoScript",0.000,0.000
"OVRPlatformMenu","MonoScript",0.000,0.000
"OculusBoundary","MonoScript",0.000,0.000
"PredictableAttribute","MonoScript",0.000,0.000
"SDLDeviceBuilder","MonoScript",0.000,0.000
"VoipAudioSourceHiLevel","MonoScript",0.000,0.000
"ControlOutputDefinition","MonoScript",0.000,0.000
"OnAnimatorMove","MonoScript",0.000,0.000
"DropDownAttribute","MonoScript",0.000,0.000
"TaskExtensions","MonoScript",0.000,0.000
"Scrollbar","MonoScript",0.000,0.000
"ProjectWideActionsAsset","MonoScript",0.000,0.000
"float4x2.gen","MonoScript",0.000,0.000
"OnMove","MonoScript",0.000,0.000
"MarkerTrack","MonoScript",0.000,0.000
"Manifest","MonoScript",0.000,0.000
"ReflectionFieldAccessor","MonoScript",0.000,0.000
"OVRScenePlane","MonoScript",0.000,0.000
"ComposerActionHandler","MonoScript",0.000,0.000
"OnParticleCollision","MonoScript",0.000,0.000
"InvalidOutput","MonoScript",0.000,0.000
"IEventUnit","MonoScript",0.000,0.000
"RoomMeshEvent","MonoScript",0.000,0.000
"ChallengeOptions","MonoScript",0.000,0.000
"IWitInspectorTools","MonoScript",0.000,0.000
"int2.gen","MonoScript",0.000,0.000
"ContextEvents","MonoScript",0.000,0.000
"TTSWitRequestSettings","MonoScript",0.000,0.000
"TypeIconAttribute","MonoScript",0.000,0.000
"HandTranslationUtils","MonoScript",0.000,0.000
"OVRTelemetry","MonoScript",0.000,0.000
"SerializableType","MonoScript",0.000,0.000
"OVRGLTFAccessor","MonoScript",0.000,0.000
"OVREyeGaze","MonoScript",0.000,0.000
"CoroutineRunner","MonoScript",0.000,0.000
"OVRLocatable","MonoScript",0.000,0.000
"AppVoiceExperience","MonoScript",0.000,0.000
"AnimatedHandOVR","MonoScript",0.000,0.000
"InteractionBroadcaster","MonoScript",0.000,0.000
"WarnBeforeEditingAttribute","MonoScript",0.000,0.000
"LastItem","MonoScript",0.000,0.000
"classicnoise4D","MonoScript",0.000,0.000
"INesterState","MonoScript",0.000,0.000
"HierarchySimplifier","MonoScript",0.000,0.000
"TMP_FontFeaturesCommon","MonoScript",0.000,0.000
"IPubSubSubscriber","MonoScript",0.000,0.000
"double4x2.gen","MonoScript",0.000,0.000
"EnsureThat","MonoScript",0.000,0.000
"GraphInstances","MonoScript",0.000,0.000
"Vector2Maximum","MonoScript",0.000,0.000
"SimulatedResponse","MonoScript",0.000,0.000
"SnapInteractor","MonoScript",0.000,0.000
"OVRBody","MonoScript",0.000,0.000
"OnTriggerEnter2D","MonoScript",0.000,0.000
"HandRayInteractorCursorVisual","MonoScript",0.000,0.000
"TMP_Settings","MonoScript",0.000,0.000
"BurstRuntime","MonoScript",0.000,0.000
"InteractableTriggerBroadcaster","MonoScript",0.000,0.000
"Product","MonoScript",0.000,0.000
"RaycasterManager","MonoScript",0.000,0.000
"LoggingContext","MonoScript",0.000,0.000
"OVRSkeleton","MonoScript",0.000,0.000
"Hmd","MonoScript",0.000,0.000
"IInputActionAssetEditor","MonoScript",0.000,0.000
"AudioDecoderOpus","MonoScript",0.000,0.000
"CowatchViewerUpdate","MonoScript",0.000,0.000
"AppDownloadProgressResult","MonoScript",0.000,0.000
"TTSSpeakerAutoLoader","MonoScript",0.000,0.000
"affine_transform","MonoScript",0.000,0.000
"SpriteState","MonoScript",0.000,0.000
"EnumerableExtensions","MonoScript",0.000,0.000
"InputActionDrawer","MonoScript",0.000,0.000
"PointableCanvasModule","MonoScript",0.000,0.000
"HandSourceInjector","MonoScript",0.000,0.000
"OVRNearTouch","MonoScript",0.000,0.000
"Cache","MonoScript",0.000,0.000
"InputDevice","MonoScript",0.000,0.000
"BurstAssemblyDisable","MonoScript",0.000,0.000
"OnMouseUpAsButton","MonoScript",0.000,0.000
"HandDataAsset","MonoScript",0.000,0.000
"LeftShiftHandler","MonoScript",0.000,0.000
"OculusRestarter","MonoScript",0.000,0.000
"RegisterUpdateCallback","MonoScript",0.000,0.000
"OVRAnchor.Deprecated","MonoScript",0.000,0.000
"JsonPropertyAttribute","MonoScript",0.000,0.000
"OVRAxis2D","MonoScript",0.000,0.000
"OVRKtxTexture","MonoScript",0.000,0.000
"AlertViewHUD","MonoScript",0.000,0.000
"EventInterfaces","MonoScript",0.000,0.000
"EventBinding","MonoScript",0.000,0.000
"ArcAffordanceController","MonoScript",0.000,0.000
"LayerIIDecoder","MonoScript",0.000,0.000
"WitTraitValueInfo","MonoScript",0.000,0.000
"For","MonoScript",0.000,0.000
"WitAppInfo","MonoScript",0.000,0.000
"IsObjectVariableDefined","MonoScript",0.000,0.000
"TouchscreenControlPickerLayout","MonoScript",0.000,0.000
"SetVariableUnit","MonoScript",0.000,0.000
"Vector3Minimum","MonoScript",0.000,0.000
"ActivationTrack","MonoScript",0.000,0.000
"bool3x2.gen","MonoScript",0.000,0.000
"OnButtonClick","MonoScript",0.000,0.000
"StopwatchExtensions","MonoScript",0.000,0.000
"int3x3.gen","MonoScript",0.000,0.000
"OnScreenStickEditorAnalytic","MonoScript",0.000,0.000
"SetDisplayRefresh","MonoScript",0.000,0.000
"StaticActionInvoker_3","MonoScript",0.000,0.000
"TMP_Compatibility","MonoScript",0.000,0.000
"WitRequestCreatedEvent","MonoScript",0.000,0.000
"StringDatum","MonoScript",0.000,0.000
"ITTSWebHandler","MonoScript",0.000,0.000
"IMaterialModifier","MonoScript",0.000,0.000
"EnsureThat.Types","MonoScript",0.000,0.000
"ISingleton","MonoScript",0.000,0.000
"InputSettingsBuildProvider","MonoScript",0.000,0.000
"TMP_TextProcessingStack","MonoScript",0.000,0.000
"SerializedInputBinding","MonoScript",0.000,0.000
"Sensor","MonoScript",0.000,0.000
"TMP_SpriteCharacter","MonoScript",0.000,0.000
"CanvasRect","MonoScript",0.000,0.000
"OnEnable","MonoScript",0.000,0.000
"TypeUtility","MonoScript",0.000,0.000
"IUnitRelation","MonoScript",0.000,0.000
"ManipulatorAffordanceController","MonoScript",0.000,0.000
"Literal","MonoScript",0.000,0.000
"VoiceService","MonoScript",0.000,0.000
"TimelineUndo","MonoScript",0.000,0.000
"VoiceSDKImplRequest","MonoScript",0.000,0.000
"BurstCompiler","MonoScript",0.000,0.000
"FeedbackConfig","MonoScript",0.000,0.000
"BaseInputModule","MonoScript",0.000,0.000
"MoveRelativeToTargetProvider","MonoScript",0.000,0.000
"GraphOutput","MonoScript",0.000,0.000
"NavMeshModifier","MonoScript",0.000,0.000
"CanvasMesh","MonoScript",0.000,0.000
"VoiceEventToRequestEventMapper","MonoScript",0.000,0.000
"ConditionalHideAttribute","MonoScript",0.000,0.000
"TTSServiceLogging","MonoScript",0.000,0.000
"TransformsPolyline","MonoScript",0.000,0.000
"ILayerable","MonoScript",0.000,0.000
"SelectOnFlow","MonoScript",0.000,0.000
"TimeControlPlayable","MonoScript",0.000,0.000
"GraphInput","MonoScript",0.000,0.000
"TTSRuntimeLRUCache","MonoScript",0.000,0.000
"ActiveStateUnityEventWrapper","MonoScript",0.000,0.000
"LivestreamingStatus","MonoScript",0.000,0.000
"ActiveStateSelector","MonoScript",0.000,0.000
"HandGrabUtils","MonoScript",0.000,0.000
"OVREnumExtensions","MonoScript",0.000,0.000
"ProjectWideActionsBuildProvider","MonoScript",0.000,0.000
"BaseSpeechService","MonoScript",0.000,0.000
"InstalledApplication","MonoScript",0.000,0.000
"InspectableAttribute","MonoScript",0.000,0.000
"VariablesAsset","MonoScript",0.000,0.000
"SdkAccount","MonoScript",0.000,0.000
"PhysicsGrabbable","MonoScript",0.000,0.000
"MicrophoneAvailabilityState","MonoScript",0.000,0.000
"IOnboardingSection","MonoScript",0.000,0.000
"ControlOutput","MonoScript",0.000,0.000
"InteractableDebugVisual","MonoScript",0.000,0.000
"DecrementHandler","MonoScript",0.000,0.000
"InteractorGroup","MonoScript",0.000,0.000
"IndexPinchSelector","MonoScript",0.000,0.000
"VisemeChangedEvent","MonoScript",0.000,0.000
"ScalarMoveTowards","MonoScript",0.000,0.000
"LocomotionGate","MonoScript",0.000,0.000
"IActiveState","MonoScript",0.000,0.000
"RenamedAssemblyAttribute","MonoScript",0.000,0.000
"OnSliderValueChanged","MonoScript",0.000,0.000
"Flow","MonoScript",0.000,0.000
"ScrollRect","MonoScript",0.000,0.000
"UserAccountAgeCategory","MonoScript",0.000,0.000
"WaitWhileUnit","MonoScript",0.000,0.000
"InteractorActiveState","MonoScript",0.000,0.000
"Hand","MonoScript",0.000,0.000
"TTSEvent","MonoScript",0.000,0.000
"ISavedVariableUnit","MonoScript",0.000,0.000
"ObjectVariables","MonoScript",0.000,0.000
"ActiveStateTracker","MonoScript",0.000,0.000
"Vector2Minimum","MonoScript",0.000,0.000
"CanvasGroupAlphaToggle","MonoScript",0.000,0.000
"UnityOnMouseOverMessageListener","MonoScript",0.000,0.000
"LivestreamingStartResult","MonoScript",0.000,0.000
"WallPenetrationTunneling","MonoScript",0.000,0.000
"VoiceServiceRequestResults","MonoScript",0.000,0.000
"uint4x4.gen","MonoScript",0.000,0.000
"VirtualMouseInputEditorAnalytic","MonoScript",0.000,0.000
"HandDebugGizmos","MonoScript",0.000,0.000
"InspectableIfAttribute","MonoScript",0.000,0.000
"ICustomAnchorPrefabSpawner","MonoScript",0.000,0.000
"IAudioClipSetter","MonoScript",0.000,0.000
"StateUnit","MonoScript",0.000,0.000
"ProcessPort","MonoScript",0.000,0.000
"FirstHoverInteractorGroup","MonoScript",0.000,0.000
"InputButton","MonoScript",0.000,0.000
"IHaptics","MonoScript",0.000,0.000
"SkeletonDebugGizmos","MonoScript",0.000,0.000
"OVRCommon","MonoScript",0.000,0.000
"OVRResources","MonoScript",0.000,0.000
"IsGraphVariableDefined","MonoScript",0.000,0.000
"GetScriptGraphs","MonoScript",0.000,0.000
"VoiceActivationButton","MonoScript",0.000,0.000
"RippleCursorEffectManager","MonoScript",0.000,0.000
"AssumeRangeAttribute","MonoScript",0.000,0.000
"LinqUtility","MonoScript",0.000,0.000
"FloatContainer","MonoScript",0.000,0.000
"ControlInputDefinition","MonoScript",0.000,0.000
"OneEuroFilterMulti","MonoScript",0.000,0.000
"ControlTrack","MonoScript",0.000,0.000
"Vector3Divide","MonoScript",0.000,0.000
"InputActionAssetSearchProvider","MonoScript",0.000,0.000
"SignalEmitter","MonoScript",0.000,0.000
"UnityRemoteSupport","MonoScript",0.000,0.000
"HideIfAttribute","MonoScript",0.000,0.000
"RemoteInputPlayerConnection","MonoScript",0.000,0.000
"FromHandPrefabDataSource","MonoScript",0.000,0.000
"SendInvitesResult","MonoScript",0.000,0.000
"InteractorGroupNodeUI","MonoScript",0.000,0.000
"BaseInput","MonoScript",0.000,0.000
"PoseUseSample","MonoScript",0.000,0.000
"Vector3Sum","MonoScript",0.000,0.000
"UserCapability","MonoScript",0.000,0.000
"LogScope","MonoScript",0.000,0.000
"InteractableUnityEventWrapper","MonoScript",0.000,0.000
"CanvasConstantWidthScaler","MonoScript",0.000,0.000
"InputManagerStateMonitors","MonoScript",0.000,0.000
"AllowsNullAttribute","MonoScript",0.000,0.000
"MatchIntentRegistry","MonoScript",0.000,0.000
"FontData","MonoScript",0.000,0.000
"Vector4Sum","MonoScript",0.000,0.000
"TypeName","MonoScript",0.000,0.000
"ComposerEvents","MonoScript",0.000,0.000
"DataStreamWriter","MonoScript",0.000,0.000
"RawImage","MonoScript",0.000,0.000
"IManifestMethod","MonoScript",0.000,0.000
"MergedGraphElementCollection","MonoScript",0.000,0.000
"OVRHandTest","MonoScript",0.000,0.000
"Vector2Round","MonoScript",0.000,0.000
"InputInteractionContext","MonoScript",0.000,0.000
"Axis1DFingerUseAPI","MonoScript",0.000,0.000
"OneGrabRotateTransformer","MonoScript",0.000,0.000
"OVRTelemetryMarker","MonoScript",0.000,0.000
"OVRPointerVisualizer","MonoScript",0.000,0.000
"ISpeechEventProvider","MonoScript",0.000,0.000
"MaterialReferenceManager","MonoScript",0.000,0.000
"IStateTransitionDebugData","MonoScript",0.000,0.000
"NetSyncSetSessionPropertyResult","MonoScript",0.000,0.000
"VoiceSDKConfigBinding","MonoScript",0.000,0.000
"NameAndParametersListView","MonoScript",0.000,0.000
"AvatarEditorResult","MonoScript",0.000,0.000
"InspectorDelayedAttribute","MonoScript",0.000,0.000
"IUnit","MonoScript",0.000,0.000
"OVRRayTransformer","MonoScript",0.000,0.000
"UnityAudioPlayer","MonoScript",0.000,0.000
"IWitRequestConfiguration","MonoScript",0.000,0.000
"AdvancedDropdownDataSource","MonoScript",0.000,0.000
"IVelocityCalculator","MonoScript",0.000,0.000
"Vector4Divide","MonoScript",0.000,0.000
"RequiresUnityAPIAttribute","MonoScript",0.000,0.000
"OneGrabSphereTransformer","MonoScript",0.000,0.000
"SceneDebugger","MonoScript",0.000,0.000
"IUnitValuePortDefinition","MonoScript",0.000,0.000
"OnDisable","MonoScript",0.000,0.000
"TransformExtensions","MonoScript",0.000,0.000
"LoopUnit","MonoScript",0.000,0.000
"CapsuleLocomotionHandler","MonoScript",0.000,0.000
"ChallengeEntry","MonoScript",0.000,0.000
"NativeHashMap","MonoScript",0.000,0.000
"TogglerActiveState","MonoScript",0.000,0.000
"ClippedCylinderSurface","MonoScript",0.000,0.000
"OVRTriangleMesh","MonoScript",0.000,0.000
"IInputActionCollection","MonoScript",0.000,0.000
"IVoipPCMSource","MonoScript",0.000,0.000
"XInputSupport","MonoScript",0.000,0.000
"IPlatformVoiceServiceOverride","MonoScript",0.000,0.000
"While","MonoScript",0.000,0.000
"OVRTelemetryConstants","MonoScript",0.000,0.000
"VoiceSDKBinding","MonoScript",0.000,0.000
"LayerIIIDecoder","MonoScript",0.000,0.000
"AudioClipProperties","MonoScript",0.000,0.000
"IState","MonoScript",0.000,0.000
"FindSpawnPositions","MonoScript",0.000,0.000
"Dropdown","MonoScript",0.000,0.000
"DropDownGroup","MonoScript",0.000,0.000
"InteractorUnityEventWrapper","MonoScript",0.000,0.000
"CanvasScaler","MonoScript",0.000,0.000
"HapticActionSO","MonoScript",0.000,0.000
"GetSceneVariable","MonoScript",0.000,0.000
"IGraphWithVariables","MonoScript",0.000,0.000
"AndroidSupport","MonoScript",0.000,0.000
"IGraphParentElement","MonoScript",0.000,0.000
"OnApplicationLostFocus","MonoScript",0.000,0.000
"ListLayout","MonoScript",0.000,0.000
"MRUKStart","MonoScript",0.000,0.000
"InputActionProperty","MonoScript",0.000,0.000
"SecondaryInteractorConnection","MonoScript",0.000,0.000
"ScalarRound","MonoScript",0.000,0.000
"AbuseReportRecording","MonoScript",0.000,0.000
"ApplicationInvite","MonoScript",0.000,0.000
"ScalarPerSecond","MonoScript",0.000,0.000
"AssetFileDownloadResult","MonoScript",0.000,0.000
"FlowStateTransition","MonoScript",0.000,0.000
"OnToggleValueChanged","MonoScript",0.000,0.000
"Vector4Multiply","MonoScript",0.000,0.000
"PinchGrabAPI","MonoScript",0.000,0.000
"PokeInteractableVisual","MonoScript",0.000,0.000
"OperationID","MonoScript",0.000,0.000
"ProfilingUtility","MonoScript",0.000,0.000
"UIBehaviour","MonoScript",0.000,0.000
"GetDictionaryItem","MonoScript",0.000,0.000
"ArrayCloner","MonoScript",0.000,0.000
"InvalidImplementationException","MonoScript",0.000,0.000
"XInputControllerWindows","MonoScript",0.000,0.000
"WitEntityRoleInfo","MonoScript",0.000,0.000
"RoundedBoxProperties","MonoScript",0.000,0.000
"TMP_FontAssetUtilities","MonoScript",0.000,0.000
"WitWebSocketAdapter","MonoScript",0.000,0.000
"Destination","MonoScript",0.000,0.000
"VisualElementExtensions","MonoScript",0.000,0.000
"Message","MonoScript",0.000,0.000
"HashSetExtensions","MonoScript",0.000,0.000
"OVRVirtualKeyboard","MonoScript",0.000,0.000
"CSharpNameUtility","MonoScript",0.000,0.000
"OVRResetOrientation","MonoScript",0.000,0.000
"ScalarSum","MonoScript",0.000,0.000
"Vector4Modulo","MonoScript",0.000,0.000
"RayConverter","MonoScript",0.000,0.000
"WitResponseHandler","MonoScript",0.000,0.000
"OVRPlayerController","MonoScript",0.000,0.000
"GenericSubtract","MonoScript",0.000,0.000
"Vector3PerSecond","MonoScript",0.000,0.000
"ImmersiveSceneDebugger","MonoScript",0.000,0.000
"OVRDeserialize","MonoScript",0.000,0.000
"Ssse3","MonoScript",0.000,0.000
"RuntimeTelemetry","MonoScript",0.000,0.000
"NetSyncConnection","MonoScript",0.000,0.000
"PlatformUtility","MonoScript",0.000,0.000
"IInspectableAttribute","MonoScript",0.000,0.000
"VectorExtensions","MonoScript",0.000,0.000
"TeleportCandidateComputer","MonoScript",0.000,0.000
"UnityOnMoveMessageListener","MonoScript",0.000,0.000
"ColliderGroup","MonoScript",0.000,0.000
"DeprecatedVector2Add","MonoScript",0.000,0.000
"OVRProfile","MonoScript",0.000,0.000
"Sse3","MonoScript",0.000,0.000
"TriggerEvent2DUnit","MonoScript",0.000,0.000
"WaitForEndOfFrameUnit","MonoScript",0.000,0.000
"NEON_AArch64_rdma","MonoScript",0.000,0.000
"UnityOnPointerUpMessageListener","MonoScript",0.000,0.000
"DoubleRewindableAllocators","MonoScript",0.000,0.000
"InputExitPlayModeAnalytic","MonoScript",0.000,0.000
"TMP_SubMesh","MonoScript",0.000,0.000
"bool2.gen","MonoScript",0.000,0.000
"DistanceGrabInteractable","MonoScript",0.000,0.000
"OVRSceneRoom","MonoScript",0.000,0.000
"OVRMonoscopic","MonoScript",0.000,0.000
"OculusPerformance","MonoScript",0.000,0.000
"UnityObjectOwnershipUtility","MonoScript",0.000,0.000
"SnapInteractable","MonoScript",0.000,0.000
"OVRTask.Build","MonoScript",0.000,0.000
"StaticActionInvoker_1","MonoScript",0.000,0.000
"AbuseReportOptions","MonoScript",0.000,0.000
"IGraphDataWithVariables","MonoScript",0.000,0.000
"OVRBuildInfo","MonoScript",0.000,0.000
"CaptionData","MonoScript",0.000,0.000
"GetScriptGraph","MonoScript",0.000,0.000
"ISurface","MonoScript",0.000,0.000
"PropertiesViewBase","MonoScript",0.000,0.000
"DistantPointDetector","MonoScript",0.000,0.000
"ComposerService","MonoScript",0.000,0.000
"ControllerPoseInputDevice","MonoScript",0.000,0.000
"ISceneVariableUnit","MonoScript",0.000,0.000
"EarlyInitHelpers","MonoScript",0.000,0.000
"OnButtonInput","MonoScript",0.000,0.000
"TMP_SubMeshUI","MonoScript",0.000,0.000
"NEON_ctor","MonoScript",0.000,0.000
"GradientCloner","MonoScript",0.000,0.000
"OnDrawGizmos","MonoScript",0.000,0.000
"InvalidConversionException","MonoScript",0.000,0.000
"InputActionParameters","MonoScript",0.000,0.000
"OVRTouch","MonoScript",0.000,0.000
"OnDrawGizmosSelected","MonoScript",0.000,0.000
"StaticActionInvoker_2","MonoScript",0.000,0.000
"Vector3Angle","MonoScript",0.000,0.000
"VoipPCMSourceNative","MonoScript",0.000,0.000
"UnionClippedPlaneSurface","MonoScript",0.000,0.000
"OculusLoader","MonoScript",0.000,0.000
"IVLogger","MonoScript",0.000,0.000
"LaunchDetails","MonoScript",0.000,0.000
"EnvironmentDepthUtils","MonoScript",0.000,0.000
"TubeRenderer","MonoScript",0.000,0.000
"ScalarNormalize","MonoScript",0.000,0.000
"IManifestLoader","MonoScript",0.000,0.000
"IJsonSerializer","MonoScript",0.000,0.000
"InspectorLabelAttribute","MonoScript",0.000,0.000
"PingResult","MonoScript",0.000,0.000
"DestructibleGlobalMeshSpawner","MonoScript",0.000,0.000
"TunnelingEffect","MonoScript",0.000,0.000
"AnimationPlayableAsset","MonoScript",0.000,0.000
"RemoveListItemAt","MonoScript",0.000,0.000
"OVRGrabbable","MonoScript",0.000,0.000
"WitIntValue","MonoScript",0.000,0.000
"GreaterThanHandler","MonoScript",0.000,0.000
"GetStateGraph","MonoScript",0.000,0.000
"InvitePanelResultInfo","MonoScript",0.000,0.000
"ActionMapsView","MonoScript",0.000,0.000
"PositionAsUV1","MonoScript",0.000,0.000
"AnimationPreviewUtilities","MonoScript",0.000,0.000
"InputSystemUIInputModule","MonoScript",0.000,0.000
"InputActionAssetIconLoader","MonoScript",0.000,0.000
"SimpleJSON","MonoScript",0.000,0.000
"Vector3DotProduct","MonoScript",0.000,0.000
"IApplicationVariableUnit","MonoScript",0.000,0.000
"PolylineRenderer","MonoScript",0.000,0.000
"WaterSpray","MonoScript",0.000,0.000
"ValueInput","MonoScript",0.000,0.000
"CloningContext","MonoScript",0.000,0.000
"LayoutRebuilder","MonoScript",0.000,0.000
"IntDatumProperty","MonoScript",0.000,0.000
"WitConfigurationAssetData","MonoScript",0.000,0.000
"VersionTagDropdownAttribute","MonoScript",0.000,0.000
"Common","MonoScript",0.000,0.000
"ThemeStyleSheet","MonoScript",0.000,0.000
"UIRenderer","MonoScript",0.000,0.000
"PanelTextSettings","MonoScript",0.000,0.000
"UIDocument","MonoScript",0.000,0.000
"PanelSettings","MonoScript",0.000,0.000
"VectorImage","MonoScript",0.000,0.000
"TextStyleSheet","MonoScript",0.000,0.000
"TextColorGradient","MonoScript",0.000,0.000
"SpriteAsset","MonoScript",0.000,0.000
"FontAsset","MonoScript",0.000,0.000
"TextSettings","MonoScript",0.000,0.000
"TileBase","MonoScript",0.000,0.000
"Tile","MonoScript",0.000,0.000
"GUISkin","MonoScript",0.000,0.000
"StyleSheet","MonoScript",0.000,0.000
"VisualTreeAsset","MonoScript",0.000,0.000
"TemplateAsset","MonoScript",0.000,0.000
"RightHandAnchor","Transform",0.000,0.000
"LeftHandAnchor","Transform",0.000,0.000
"SCREEN","Transform",0.000,0.000
"WALL_ART","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"SCREEN","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"LAMP","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"SCREEN","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"SCREEN","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"SCREEN","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"LAMP","Transform",0.000,0.000
"SCREEN","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"WALL_ART","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"SCREEN","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"DOOR_FRAME","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"WALL_ART","Transform",0.000,0.000
"CEILING","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"SCREEN","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"FLOOR","Transform",0.000,0.000
"LeftControllerInHandAnchor","Transform",0.000,0.000
"RightControllerInHandAnchor","Transform",0.000,0.000
"WALL_FACE_EffectMesh","GameObject",0.000,0.000
"WALL_FACE_EffectMesh","GameObject",0.000,0.000
"WALL_FACE_EffectMesh","GameObject",0.000,0.000
"WALL_FACE_EffectMesh","GameObject",0.000,0.000
"SCREEN_EffectMesh","GameObject",0.000,0.000
"WALL_ART_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"SCREEN_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"LAMP_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"WINDOW_FRAME_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"SCREEN_EffectMesh","GameObject",0.000,0.000
"WINDOW_FRAME_EffectMesh","GameObject",0.000,0.000
"STORAGE_EffectMesh","GameObject",0.000,0.000
"WINDOW_FRAME_EffectMesh","GameObject",0.000,0.000
"WINDOW_FRAME_EffectMesh","GameObject",0.000,0.000
"SCREEN_EffectMesh","GameObject",0.000,0.000
